DTCR I5_OHLC_NE Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE FTSE100_OHLC_NE BVSP_OHLC_NE BSESN_OHLC_NE Nickel_OHLC_NE NIKKEI225_OHLC_NE VIX_OHLC_NE
22.11.2004 45087.05504 448.175 42.7585 10497.6815 1368.0795 4739.735 24522.45 6009.039 14074 10874.258 12.8395
29.11.2004 42392.52988 452.325 41.6985 10527.8115 1337.8085 4740.295 25134.7 6237.359 13897 10922.975 13.049
06.12.2004 39192.61404 445.445 37.691 10517.073 1332.0205 4713.16 25050.15 6305.101 12949 10881.7175 13.2
13.12.2004 37975.45988 439.585 39.452 10658.667 1306.2505 4725.67 25495.45 6343.6275 13046 10918.1275 12.4025
20.12.2004 39538.47428 442.75 41.6845 10766.8335 1285.615 4756.875 25749.55 6434.4645 14591 11197.2385 11.5845
27.12.2004 40870.8042 441.075 39.8775 10817.966 1276.918 4805.575 26098.35 6552.5485 14924 11422.923 12.1815
03.01.2005 41038.605 427.255 41.095 10666.328 1250.5625 4825.87 25044 6527.416 14476 11463.815 13.762
10.01.2005 40968.955 422.95 44.3035 10573.6145 1252.907 4815.27 24528.3 6240.5365 14820 11457.6265 13.0675
17.01.2005 40392.14752 423.435 45.112 10529.465 1217.717 4819.43 24188.45 6181.563 14497 11386.885 13.155
24.01.2005 41312.28364 425.695 46.0045 10445.163 1240.595 4833.43 24117.25 6191.1015 14369 11306.6355 13.741
31.01.2005 43193.58188 420.28 44.2205 10562.3985 1223.788 4895.28 24570.6 6565.7975 14603 11383.394 12.185
07.02.2005 43317.99304 416.225 43.4865 10722.3965 1269 4991.02 25874.25 6580.8825 14998 11484.3765 11.635
14.02.2005 43378.75996 426.77 45.1815 10799.8225 1272.02 5052.115 26651.15 6635.8125 15426 11625.7115 11.4605
21.02.2005 44427.12008 433.33 47.909 10722.5015 1300.101 5016.78 27394.3 6576.809 15994 11587.1685 12.083
28.02.2005 46480.95284 434.2 51.0485 10830.4335 1297.8795 5000.2 28290.4 6713.9605 16112 11791.144 12.291
07.03.2005 46403.04964 440.615 52.71 10875.1595 1301.0555 5001.83 28842.8 6890.824 16267 11911.795 12.4355
14.03.2005 44361.07612 441.83 54.4425 10701.1275 1263.0135 4958.515 27836.65 6747.364 16175 11844.649 13.122
21.03.2005 43476.42156 429.105 53.801 10505.23 1211.539 4923.64 26805.8 6537.709 16378 11799.064 13.785
28.03.2005 43896.03176 426.515 52.3075 10478.2245 1191.5995 4911.15 26416 6460.6575 16073 11659.3765 13.9185
04.04.2005 45669.30048 426.43 53.8125 10471.7095 1213.861 4942.92 26159 6574.858 16207 11780.638 13.291
